grid_id,hb_peo_density,hb_distance,up_la,down_la,right_lon,left_lon,lon,la,wb_peo_density,wb_distance,jh_density,jh_ratio,poi_sum,roaddensity,near_dist,time_to_sub,事件活动_count,交通设施服务_count,住宿服务_count,体育休闲服务_count,公共设施_count,公司企业_count,医疗保健服务_count,商务住宅_count,地名地址信息_count,室内设施_count,摩托车服务_count,政府机构及社会团体_count,汽车服务_count,汽车维修_count,汽车销售_count,生活服务_count,科教文化服务_count,购物服务_count,通行设施_count,道路附属设施_count,金融保险服务_count,风景名胜_count,餐饮服务_count,evenness,diversity
"(120.080703, 30.119438)",19,9.447602342,30.124438,30.114438,120.085703,120.075703,120.080703,30.119438,45,9.053021767,64,2.368421053,25,7.790316505,16.08862187,5,0,4,0,0,1,1,0,2,6,0,0,0,0,0,0,4,0,5,2,0,0,0,0,0.91969319,1.912448225
"(120.260703, 30.119438)",967,9.698602053,30.124438,30.114438,120.265703,120.255703,120.260703,30.119438,839,8.409220071,1806,0.867631851,65,6.200466154,14.23029385,5,0,3,0,1,4,11,1,2,15,0,0,1,1,0,0,4,0,13,4,0,0,1,4,0.8402207,2.217390598
"(120.270703, 30.119438)",1091,9.821531523,30.124438,30.114438,120.275703,120.265703,120.270703,30.119438,857,11.08888897,1948,0.785517874,32,2.901835913,14.70847982,5,0,4,0,1,3,2,0,2,10,0,0,1,2,0,0,0,0,2,4,0,0,0,1,0.885494374,2.123322774
"(119.950703, 30.129438)",0,0,30.134438,30.124438,119.955703,119.945703,119.950703,30.129438,0,0,0,0,30,2.931788632,25.58528483,5,0,5,0,1,1,6,0,0,8,0,0,4,0,0,0,0,1,4,0,0,0,0,0,0.889858915,1.850409595
"(119.960703, 30.129438)",104,13.628174,30.134438,30.124438,119.965703,119.955703,119.960703,30.129438,31,7.664189376,135,0.298076923,183,12.84772831,24.70629261,5,0,9,6,2,5,10,7,1,29,0,0,12,2,1,0,25,11,46,5,0,2,0,10,0.834070705,2.363100252
"(119.970703, 30.129438)",318,15.15854096,30.134438,30.124438,119.975703,119.965703,119.970703,30.129438,233,15.54999825,551,0.732704403,38,5.337532839,23.83661335,5,0,4,0,0,0,6,0,3,8,0,0,1,0,0,0,3,4,1,6,0,0,1,1,0.904407167,2.168673671
"(120.080703, 30.129438)",678,11.80000189,30.134438,30.124438,120.085703,120.075703,120.080703,30.129438,2415,15.54923207,3093,3.561946903,1371,14.46846731,15.30693785,5,0,36,3,5,0,62,2,12,38,1092,0,9,7,0,0,15,22,17,24,0,3,4,20,0.350866342,0.994079203
"(120.260703, 30.129438)",1140,9.091417951,30.134438,30.124438,120.265703,120.255703,120.260703,30.129438,737,8.701950841,1877,0.646491228,157,7.376513148,13.34574602,5,0,17,0,3,5,9,1,7,25,0,0,21,1,0,0,22,1,12,8,0,0,2,23,0.866864961,2.347513832
"(120.270703, 30.129438)",3489,10.05920388,30.134438,30.124438,120.275703,120.265703,120.270703,30.129438,1321,7.85142044,4810,0.378618515,267,7.308465736,13.85297381,5,0,7,1,9,1,9,8,12,74,0,0,15,4,0,3,29,18,32,12,0,4,0,29,0.833623573,2.361833431
"(119.970703, 30.139438)",11,15.1792565,30.144438,30.134438,119.975703,119.965703,119.970703,30.139438,3,16.31755978,14,0.272727273,118,16.73028192,23.34992275,5,0,10,1,4,4,15,0,7,24,0,0,4,2,0,0,9,11,8,10,0,0,0,9,0.917730811,2.421944224
"(119.980703, 30.139438)",1,0.734389808,30.144438,30.134438,119.985703,119.975703,119.980703,30.139438,3,13.42669215,4,3,259,11.72289343,22.47249393,5,0,20,5,5,2,54,4,15,59,0,0,8,2,0,0,20,8,15,7,0,4,2,29,0.826217399,2.34085016
"(119.990703, 30.139438)",139,14.45873478,30.144438,30.134438,119.995703,119.985703,119.990703,30.139438,114,15.16026388,253,0.820143885,31,5.742217847,21.60534363,5,0,0,0,1,0,3,0,2,10,0,0,0,0,0,0,4,2,4,5,0,0,0,0,0.903185771,1.878122012
"(120.060703, 30.139438)",879,13.31348785,30.144438,30.134438,120.065703,120.055703,120.060703,30.139438,294,10.28822862,1173,0.33447099,187,7.043335967,15.95740671,5,0,15,2,2,3,50,0,16,10,0,0,4,2,1,0,20,19,8,12,0,1,2,20,0.826698556,2.34221338
"(120.070703, 30.139438)",598,11.7574695,30.144438,30.134438,120.075703,120.065703,120.070703,30.139438,663,11.17261856,1261,1.108695652,344,12.53144033,15.2382717,5,0,19,3,9,2,10,16,13,57,0,0,26,8,3,1,40,30,32,24,0,1,0,50,0.865526721,2.501693991
"(120.080703, 30.139438)",48,6.060211297,30.144438,30.134438,120.085703,120.075703,120.080703,30.139438,100,12.17969205,148,2.083333333,232,14.14921888,14.55080207,5,0,29,5,1,1,37,2,19,27,0,0,4,4,0,1,20,16,12,26,0,1,2,25,0.844462588,2.440810814
"(120.260703, 30.139438)",1978,9.447744128,30.144438,30.134438,120.265703,120.255703,120.260703,30.139438,1054,8.053222199,3032,0.532861476,370,6.281052468,12.47770485,5,0,18,7,10,4,23,12,14,28,0,0,22,5,1,0,64,36,57,20,0,5,2,42,0.872967053,2.523199316
"(119.980703, 30.149438)",91,15.58970304,30.154438,30.144438,119.985703,119.975703,119.980703,30.149438,130,15.36574012,221,1.428571429,364,11.67852684,22.00053695,5,0,22,4,13,9,29,5,9,24,0,0,2,1,0,0,35,17,21,15,0,0,115,43,0.824602101,2.286282485
"(119.990703, 30.149438)",518,17.44166536,30.154438,30.144438,119.995703,119.985703,119.990703,30.149438,399,16.3060369,917,0.77027027,143,7.841809468,21.11471006,5,0,4,4,0,1,17,5,6,15,0,0,8,2,1,0,29,5,24,7,0,0,0,15,0.869661109,2.355085942
"(120.000703, 30.149438)",1806,17.20748912,30.154438,30.144438,120.005703,119.995703,120.000703,30.149438,2147,20.11820303,3953,1.188815061,72,5.69113944,20.23919651,5,0,11,3,1,0,5,1,6,5,0,0,2,2,0,0,9,11,7,6,0,0,0,3,0.919994525,2.427918293
"(120.030703, 30.149438)",4,7.188326155,30.154438,30.144438,120.035703,120.025703,120.030703,30.149438,17,13.15143878,21,4.25,70,9.37377175,17.68860929,5,0,4,0,0,0,6,0,4,7,0,0,4,0,0,0,10,26,4,3,0,0,1,1,0.832931834,1.997283307
"(120.040703, 30.149438)",287,13.30235356,30.154438,30.144438,120.045703,120.035703,120.040703,30.149438,186,14.02874801,473,0.648083624,37,8.240750292,16.86998613,5,0,2,0,0,1,4,0,0,18,0,0,3,2,0,0,2,1,2,0,0,0,1,1,0.757320446,1.815975118
"(120.050703, 30.149438)",60,11.76959164,30.154438,30.144438,120.055703,120.045703,120.050703,30.149438,620,12.33488302,680,10.33333333,226,9.984626503,16.07102572,5,0,21,0,1,1,4,3,8,78,0,0,10,3,6,0,16,14,31,24,0,1,0,5,0.776647987,2.153325451
"(120.060703, 30.149438)",485,12.1460215,30.154438,30.144438,120.065703,120.055703,120.060703,30.149438,384,14.23389334,869,0.791752577,372,8.40721489,15.29469796,5,0,17,7,7,3,14,14,8,90,0,0,10,3,0,0,59,12,36,29,0,1,1,61,0.809784253,2.29429155
"(120.070703, 30.149438)",579,12.7006777,30.154438,30.144438,120.075703,120.065703,120.070703,30.149438,487,12.72995354,1066,0.841105354,1182,13.07446628,14.54433998,5,0,86,32,45,4,51,16,25,97,0,0,11,7,1,0,247,104,183,33,0,12,1,227,0.79288967,2.29174591
"(120.080703, 30.149438)",1384,10.90984052,30.154438,30.144438,120.085703,120.075703,120.080703,30.149438,948,9.840163088,2332,0.684971098,173,14.91106748,13.8240751,5,0,17,3,2,4,8,4,5,37,0,0,14,5,1,0,21,6,16,12,1,5,1,11,0.86576802,2.549201105
"(120.090703, 30.149438)",385,9.556622823,30.154438,30.144438,120.095703,120.085703,120.090703,30.149438,244,13.05207445,629,0.633766234,84,10.166011,13.13857623,5,0,9,0,0,1,9,1,5,26,0,0,10,2,2,0,6,3,3,6,0,0,0,1,0.838997464,2.214162406
"(120.260703, 30.149438)",2358,9.998447817,30.154438,30.144438,120.265703,120.255703,120.260703,30.149438,1432,9.045565988,3790,0.607294317,1080,6.744151092,11.62969848,5,0,42,0,10,12,18,19,29,194,435,0,16,7,0,0,86,11,102,30,0,7,1,61,0.705161504,1.997872983
"(120.070703, 30.159438)",302,13.06714212,30.164438,30.154438,120.075703,120.065703,120.070703,30.159438,206,8.328054836,508,0.682119205,487,12.76474257,13.8859096,5,0,39,6,10,8,6,7,16,66,10,0,46,3,1,0,47,37,96,33,0,4,0,52,0.84794099,2.450864691
"(120.080703, 30.159438)",6588,18.13633818,30.164438,30.154438,120.085703,120.075703,120.080703,30.159438,5486,17.15044003,12074,0.832726169,250,10.50812036,13.13152019,5,0,17,1,0,2,2,7,16,70,0,0,8,8,1,0,21,24,37,26,0,1,1,8,0.798557898,2.262484894
"(120.090703, 30.159438)",365,10.04507322,30.164438,30.154438,120.095703,120.085703,120.090703,30.159438,294,8.373781772,659,0.805479452,91,7.894435637,12.40988229,5,0,13,0,0,0,5,0,8,29,0,0,2,2,0,0,6,7,3,7,0,2,0,7,0.865622464,2.150991017
"(120.100703, 30.159438)",848,12.45696253,30.164438,30.154438,120.105703,120.095703,120.100703,30.159438,358,11.18816792,1206,0.422169811,65,6.723042032,11.72682941,5,0,8,1,0,0,3,0,8,19,0,0,0,0,0,0,9,5,12,0,0,0,0,0,0.896563498,1.864351382
"(120.150703, 30.159438)",8849,17.18469141,30.164438,30.154438,120.155703,120.145703,120.150703,30.159438,6102,17.05196324,14951,0.689569443,868,9.311924896,9.157928455,5,0,26,10,10,3,41,19,16,301,0,1,24,6,3,0,106,27,155,33,0,8,4,75,0.724576926,2.133472545
"(120.260703, 30.159438)",2162,9.609869322,30.164438,30.154438,120.265703,120.255703,120.260703,30.159438,1880,8.684783006,4042,0.869565217,1600,10.79200266,10.80590914,5,0,99,30,28,23,44,57,52,283,87,0,122,1,1,0,151,84,256,85,0,19,6,172,0.855061401,2.51767612
"(120.270703, 30.159438)",5231,10.95843158,30.164438,30.154438,120.275703,120.265703,120.270703,30.159438,7119,9.706043767,12350,1.360925253,1946,9.785241299,11.41971776,5,0,60,11,16,20,38,86,46,430,0,0,132,3,1,1,350,55,421,87,0,34,6,149,0.755637015,2.224927082
"(120.350703, 30.159438)",435,8.273355346,30.164438,30.154438,120.355703,120.345703,120.350703,30.159438,389,6.994787644,824,0.894252874,198,8.332366861,17.59873918,5,0,1,0,0,3,22,3,1,97,0,0,7,1,2,1,3,2,30,10,0,3,1,11,0.631597239,1.789449725
"(120.360703, 30.159438)",856,10.61552017,30.164438,30.154438,120.365703,120.355703,120.360703,30.159438,869,8.995384362,1725,1.015186916,68,4.996938074,18.46597134,5,0,2,0,0,2,15,0,1,20,0,0,6,2,3,0,2,2,8,2,0,0,1,2,0.813598997,2.147134396
"(120.130703, 30.169438)",1,2.942321165,30.174438,30.164438,120.135703,120.125703,120.130703,30.169438,0,0,1,0,284,17.45614359,9.121110392,5,0,11,0,6,2,2,7,4,151,0,0,8,0,0,0,25,18,28,9,0,0,0,13,0.675517383,1.732667879
"(120.140703, 30.169438)",884,9.917989751,30.174438,30.164438,120.145703,120.135703,120.140703,30.169438,613,10.52734617,1497,0.693438914,718,12.09143763,8.627557042,5,0,28,7,16,5,12,20,18,280,0,0,18,8,2,0,103,31,67,30,0,4,0,69,0.74118037,2.099922114
"(120.150703, 30.169438)",1445,8.97016789,30.174438,30.164438,120.155703,120.145703,120.150703,30.169438,1120,9.82391187,2565,0.775086505,741,14.87013648,8.219050295,5,0,24,7,16,3,9,9,20,182,0,0,16,7,2,0,99,43,67,20,0,2,1,214,0.721381912,2.085061905
"(120.230703, 30.169438)",2931,10.6248472,30.174438,30.164438,120.235703,120.225703,120.230703,30.169438,1105,10.38672309,4036,0.377004435,281,21.82576626,8.423455702,5,0,23,0,2,0,6,4,14,73,0,0,5,4,0,0,34,5,36,18,0,0,1,56,0.804288108,2.122562428
"(120.260703, 30.169438)",3744,10.6132651,30.174438,30.164438,120.265703,120.255703,120.260703,30.169438,2611,9.256912806,6355,0.697382479,1904,20.79645703,10.01222536,5,0,93,30,40,28,44,27,39,203,86,0,35,5,2,3,301,59,624,62,0,15,1,207,0.7436866,2.227885949
"(120.270703, 30.169438)",2353,10.11855904,30.174438,30.164438,120.275703,120.265703,120.270703,30.169438,2275,9.371478431,4628,0.966850829,1342,14.71455693,10.66885721,5,0,79,26,4,11,35,50,42,213,125,1,42,4,0,1,217,48,246,80,0,10,10,98,0.812035211,2.432640088
"(120.290703, 30.169438)",2663,9.90876593,30.174438,30.164438,120.295703,120.285703,120.290703,30.169438,3430,8.675782814,6093,1.288021029,934,12.96555986,12.11585028,5,0,35,21,2,4,43,10,12,61,0,0,25,5,0,0,55,3,580,32,0,15,2,29,0.557055082,1.578255893
"(120.300703, 30.169438)",46,7.386068321,30.174438,30.164438,120.305703,120.295703,120.300703,30.169438,49,6.274218438,95,1.065217391,187,12.71298208,12.89186174,5,0,9,4,1,3,18,0,7,42,0,0,12,5,6,6,22,2,32,7,0,3,0,8,0.856453487,2.426515448
"(120.310703, 30.169438)",67,12.0684258,30.174438,30.164438,120.315703,120.305703,120.310703,30.169438,101,6.402387224,168,1.507462687,331,14.66616531,13.69562158,5,0,8,4,3,5,78,6,2,26,0,0,7,21,3,8,34,2,68,28,0,0,1,27,0.796812258,2.303083647
"(120.350703, 30.169438)",291,7.922293332,30.174438,30.164438,120.355703,120.345703,120.350703,30.169438,125,9.696038472,416,0.429553265,314,8.952992137,17.11006251,5,0,8,4,1,2,62,7,5,20,0,0,9,12,7,2,40,5,80,25,0,4,1,20,0.786951545,2.317130803
"(120.360703, 30.169438)",477,10.3394501,30.174438,30.164438,120.365703,120.355703,120.360703,30.169438,750,8.254835251,1227,1.572327044,225,11.96205599,17.99993061,5,0,6,1,1,1,63,5,5,14,0,0,9,5,3,1,17,5,46,13,0,2,1,27,0.764752762,2.251767842
"(120.140703, 30.179438)",968,9.178456182,30.184438,30.174438,120.145703,120.135703,120.140703,30.179438,2577,12.49221988,3545,2.662190083,695,18.03454195,7.748273715,5,0,65,15,23,4,65,7,12,116,0,0,10,12,0,0,99,62,67,56,0,4,4,74,0.859201944,2.434302414
"(120.150703, 30.179438)",7426,14.4418047,30.184438,30.174438,120.155703,120.145703,120.150703,30.179438,12796,15.70720653,20222,1.723134931,922,24.61321347,7.29500635,5,0,93,7,7,6,174,5,42,100,0,0,30,12,1,0,77,111,65,77,0,5,3,107,0.827452919,2.391646548
"(120.160703, 30.179438)",911,7.779474152,30.184438,30.174438,120.165703,120.155703,120.160703,30.179438,2100,10.96476478,3011,2.305159166,772,20.14770023,6.946164578,5,0,31,10,18,3,80,5,21,72,187,0,9,4,5,2,38,37,43,47,0,2,0,158,0.787020514,2.31733388
"(120.190703, 30.179438)",1844,10.2738799,30.184438,30.174438,120.195703,120.185703,120.190703,30.179438,959,9.160203012,2803,0.520065076,722,13.50976732,6.612852599,5,0,59,14,11,5,37,23,19,84,0,2,38,13,7,0,99,22,134,52,0,8,2,93,0.844633882,2.486972927
"(120.200703, 30.179438)",1215,8.050729672,30.184438,30.174438,120.205703,120.195703,120.200703,30.179438,2659,11.14002191,3874,2.188477366,580,15.81984221,6.65258748,5,0,42,0,9,1,137,11,19,93,0,0,9,10,5,0,74,12,68,36,0,0,3,51,0.818971285,2.270670549
"(120.210703, 30.179438)",1296,8.837128947,30.184438,30.174438,120.215703,120.205703,120.210703,30.179438,3863,11.73158893,5159,2.980709877,739,17.89591656,6.822068339,5,0,66,4,10,0,203,5,32,55,0,0,22,35,23,19,60,8,51,61,0,7,2,76,0.833369817,2.408748583
"(120.220703, 30.179438)",1146,8.005685574,30.184438,30.174438,120.225703,120.215703,120.220703,30.179438,2777,10.98769681,3923,2.423211169,1027,11.49709354,7.116458141,5,0,29,7,14,1,148,10,23,55,293,0,6,10,8,7,84,23,175,57,0,6,0,71,0.759920154,2.237538523
"(120.230703, 30.179438)",2003,9.959869692,30.184438,30.174438,120.235703,120.225703,120.230703,30.179438,1156,8.335504675,3159,0.577134299,380,11.86192795,7.52230285,5,0,29,4,4,3,8,5,14,124,0,0,9,10,1,2,48,9,71,26,0,4,1,8,0.738735617,2.175161946
"(120.240703, 30.179438)",2263,8.85145734,30.184438,30.174438,120.245703,120.235703,120.240703,30.179438,1340,9.173759964,3603,0.592134335,574,9.256124266,8.024302079,5,0,31,2,10,6,27,21,19,82,141,0,13,8,2,0,76,17,46,24,0,11,4,34,0.830671384,2.445861201
"(120.250703, 30.179438)",16342,15.20107555,30.184438,30.174438,120.255703,120.245703,120.250703,30.179438,18697,15.48078382,35039,1.144107208,2050,10.70399712,8.606753156,5,0,69,10,16,18,135,32,31,256,873,0,38,17,7,2,154,53,146,73,0,34,1,85,0.697580933,2.089765714
"(120.260703, 30.179438)",5260,11.60941751,30.184438,30.174438,120.265703,120.255703,120.260703,30.179438,6857,11.21847629,12117,1.303612167,2164,15.21937376,9.255674607,5,0,119,24,59,29,115,39,59,209,178,0,52,11,2,1,358,98,346,97,0,43,1,324,0.829671672,2.485474205
"(120.270703, 30.179438)",3048,10.43764716,30.184438,30.174438,120.275703,120.265703,120.270703,30.179438,4035,10.01125013,7083,1.323818898,1308,10.7438552,9.958922258,5,0,101,11,25,3,55,24,42,229,0,0,65,9,1,1,219,50,276,62,0,17,2,116,0.788634757,2.322086918
"(120.280703, 30.179438)",3290,10.57043762,30.184438,30.174438,120.285703,120.275703,120.280703,30.179438,3561,9.849204367,6851,1.082370821,394,16.04910327,10.70650565,5,0,34,11,10,5,34,4,17,112,0,3,24,9,0,0,28,11,47,24,0,6,6,9,0.840993717,2.430784487
"(120.290703, 30.179438)",1437,9.49591816,30.184438,30.174438,120.295703,120.285703,120.290703,30.179438,588,7.545131943,2025,0.409185804,117,25.01169884,11.49033024,5,0,16,8,1,0,12,0,2,9,0,0,14,4,1,0,8,0,19,5,0,1,3,14,0.889514754,2.408850608
"(120.300703, 30.179438)",452,8.357803084,30.184438,30.174438,120.305703,120.295703,120.300703,30.179438,614,7.317630028,1066,1.35840708,63,17.87574933,12.30365713,5,0,9,0,1,1,5,0,6,13,0,0,13,1,1,0,6,0,2,3,0,0,0,2,0.859802579,2.205350071
"(120.310703, 30.179438)",655,7.891181565,30.184438,30.174438,120.315703,120.305703,120.310703,30.179438,442,7.543286388,1097,0.67480916,196,12.63132931,13.14152626,5,0,6,3,0,6,13,4,0,16,0,4,15,0,1,0,24,6,60,8,0,2,0,28,0.821979641,2.225962133
"(120.320703, 30.179438)",1065,9.152489698,30.184438,30.174438,120.325703,120.315703,120.320703,30.179438,641,8.844551908,1706,0.601877934,184,12.82146671,13.99965935,5,0,11,3,1,5,34,3,5,52,0,0,7,3,2,2,13,3,21,14,0,2,1,2,0.784714354,2.310543531
"(120.330703, 30.179438)",888,10.06692486,30.184438,30.174438,120.335703,120.325703,120.330703,30.179438,573,6.719187243,1461,0.64527027,404,18.86362066,14.87467224,5,0,9,1,2,3,121,0,8,117,0,0,2,4,2,0,14,3,100,6,0,1,3,8,0.617021968,1.748154874
"(120.140703, 30.189438)",116,6.757259534,30.194438,30.184438,120.145703,120.135703,120.140703,30.189438,283,10.15533097,399,2.439655172,578,16.26891016,6.898726715,5,0,51,20,13,5,29,13,18,173,0,0,10,2,1,0,76,25,58,20,0,4,2,58,0.79465902,2.296859987
"(120.150703, 30.189438)",576,7.981545605,30.194438,30.184438,120.155703,120.145703,120.150703,30.189438,450,8.092625409,1026,0.78125,966,13.7884053,6.391549639,5,0,96,12,19,0,34,20,36,185,0,0,17,6,2,0,154,100,122,62,0,13,4,84,0.837226533,2.372041384
"(120.160703, 30.189438)",2608,10.74249157,30.194438,30.184438,120.165703,120.155703,120.160703,30.189438,3888,12.50646423,6496,1.490797546,1549,13.85561399,5.995936178,5,0,87,17,41,4,102,24,41,182,0,1,18,5,1,3,285,97,238,69,0,18,1,315,0.767036237,2.29783521
"(120.170703, 30.189438)",1135,9.17307757,30.194438,30.184438,120.175703,120.165703,120.170703,30.189438,3216,11.45272143,4351,2.833480176,726,13.95146212,5.73231241,5,0,79,11,27,1,175,22,25,24,0,0,22,10,2,1,81,20,67,60,0,4,0,95,0.819480577,2.368603516
"(120.180703, 30.189438)",1351,8.313628004,30.194438,30.184438,120.185703,120.175703,120.180703,30.189438,4447,11.95785934,5798,3.291635825,561,24.17860595,5.617252276,5,0,72,0,9,5,202,3,28,65,0,0,9,6,0,0,36,25,38,37,0,1,1,24,0.763084586,2.115719718
"(120.190703, 30.189438)",323,7.600631017,30.194438,30.184438,120.195703,120.185703,120.190703,30.189438,3264,11.2124296,3587,10.10526316,712,28.39194009,5.612852619,5,0,65,5,23,1,231,3,39,59,0,0,12,12,0,0,65,15,70,38,0,5,2,67,0.784564101,2.222837482
"(120.200703, 30.189438)",1512,9.008708124,30.194438,30.184438,120.205703,120.195703,120.200703,30.189438,4246,11.3073885,5758,2.808201058,865,14.92179077,5.658763396,5,0,64,3,6,2,400,3,53,41,0,1,7,13,1,3,63,31,53,46,0,9,2,64,0.661438359,1.981492239
"(120.210703, 30.189438)",1453,9.009096565,30.194438,30.184438,120.215703,120.205703,120.210703,30.189438,2585,11.04410797,4038,1.77907777,868,10.52405234,5.853915308,5,0,69,10,15,3,121,9,31,168,0,3,23,24,6,16,98,10,78,64,0,11,1,108,0.818916286,2.453253948
"(120.220703, 30.189438)",2037,9.876463054,30.194438,30.184438,120.225703,120.215703,120.220703,30.189438,753,8.572703271,2790,0.369661267,1177,12.21779051,6.189626307,5,0,68,23,14,15,12,49,41,185,0,0,49,16,7,0,216,39,236,49,0,8,15,135,0.821535925,2.374544235
"(120.230703, 30.189438)",3056,9.565691864,30.194438,30.184438,120.235703,120.225703,120.230703,30.189438,1314,8.749915928,4370,0.429973822,512,17.28098123,6.646775828,5,0,42,4,10,6,20,17,32,90,0,0,39,6,0,0,67,17,71,32,0,0,5,54,0.882832269,2.447730792
"(120.240703, 30.189438)",4981,11.00152205,30.194438,30.184438,120.245703,120.235703,120.240703,30.189438,1845,9.436118308,6826,0.370407549,560,10.81562999,7.204425378,5,0,51,3,16,4,60,5,24,113,5,0,39,2,0,1,70,18,36,30,0,21,5,57,0.843315299,2.483090439
"(120.250703, 30.189438)",3704,10.03580475,30.194438,30.184438,120.255703,120.245703,120.250703,30.189438,1675,8.743544028,5379,0.452213823,1672,12.23148743,7.842863608,5,0,61,17,26,15,77,31,40,327,343,0,34,14,5,0,216,48,213,49,0,18,3,135,0.800075349,2.355773044
"(120.260703, 30.189438)",857,7.353706367,30.194438,30.184438,120.265703,120.255703,120.260703,30.189438,1642,10.29368418,2499,1.915985998,634,14.21447564,8.545371557,5,0,41,7,18,4,41,21,16,52,0,0,53,4,0,0,109,50,83,41,0,12,5,77,0.883416773,2.502908191
"(120.270703, 30.189438)",1439,8.192771066,30.194438,30.184438,120.275703,120.265703,120.270703,30.189438,1377,9.063482165,2816,0.956914524,555,11.27042915,9.298639589,5,0,37,3,11,4,24,17,16,121,0,0,29,1,0,0,76,48,95,31,0,5,5,32,0.833383901,2.36115439
